,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
5269,,2022-08-05 07:00:15,2022-08-04, VOXX,Voxx International Corp,Kahli Beat,"Dir, 10%",P - Purchase,$9.23,"+10,000","5,540,000",0%,"+$92,300",,,,
5270,,2022-08-04 19:03:40,2022-08-02, NEOG,Neogen Corp,Green Ronald D,Dir,P - Purchase,$22.50,"+1,500","10,694",+16%,"+$33,750",,,,
5271,A,2022-08-04 19:03:37,2022-08-02, SWK,"Stanley Black & Decker, Inc.",Ayers Andrea J.,Dir,P - Purchase,$95.69,"+15,500","19,369",+401%,"+$1,483,142",,,,
5272,,2022-08-04 18:59:18,2022-05-20, SOUN,"Soundhound Ai, Inc.",Ball Eric R.,Dir,P - Purchase,$4.80,"+20,000","580,250",+4%,"+$96,000",,,,
5273,,2022-08-04 18:44:23,2022-08-04, CSV,Carriage Services Inc,Quezada Carlos R.,"Pres, COO",P - Purchase,$36.33,"+1,500","8,634",+21%,"+$54,495",,,,
5274,,2022-08-04 17:29:46,2022-08-03, FCX,Freeport-McMoran Inc,Lewis Sara Grootwassink,Dir,P - Purchase,$28.79,"+3,000","13,800",+28%,"+$86,355",,,,
5275,,2022-08-04 17:14:43,2022-08-04, UNVR,Univar Solutions Inc.,Pappas Christopher D,Dir,P - Purchase,$25.68,"+4,000","212,058",+2%,"+$102,720",,,,
5276,,2022-08-04 17:08:03,2022-08-03, MYFW,First Western Financial Inc,Sawyer John Emery,Chief Investment Officer,P - Purchase,$27.29,+925,"24,979",+4%,"+$25,243",,,,
5277,M,2022-08-04 17:07:27,2021-02-23, LBRDA,Liberty Broadband Corp,Frist Julie D.,Dir,P - Purchase,$142.53,"+1,120","1,147,791",0%,"+$159,634",,,,
5278,D,2022-08-04 17:06:59,2022-08-03, PINS,"Pinterest, Inc.",Ready William J,CEO,P - Purchase,$22.47,"+222,551","222,551",New,"+$5,000,009",,,,
5279,,2022-08-04 17:05:39,2022-08-03, TAP,Molson Coors Beverage Co,Winnefeld James A Jr,Dir,P - Purchase,$53.45,+200,"13,226",+2%,"+$10,690",,,,
5280,,2022-08-04 17:02:35,2022-08-04, PWOD,Penns Woods Bancorp Inc,Kephart Cameron,Dir,P - Purchase,$22.58,+176,"5,175",+4%,"+$3,974",,,,
5281,M,2022-08-04 16:54:02,2022-08-02, ULBI,Ultralife Corp,Whitmore Bradford T,"Dir, 10%",P - Purchase,$4.67,"+100,000","5,814,524",+2%,"+$467,486",,,,
5282,,2022-08-04 16:48:53,2022-07-31, ED,Consolidated Edison Inc,Shannon Nancy,SVP Utility Shared Services,P - Purchase,$99.27,+4,193,+2%,+$444,,,,
5283,,2022-08-04 16:47:45,2022-07-31, ED,Consolidated Edison Inc,Sanchez Robert,"Pres, CEO, O, R",P - Purchase,$99.27,+23,"9,643",0%,"+$2,311",,,,
5284,,2022-08-04 16:45:53,2022-07-31, ED,Consolidated Edison Inc,Nadkarni Gurudatta D,"VP, Strategic Planning",P - Purchase,$99.27,+21,"8,918",0%,"+$2,079",,,,
5285,,2022-08-04 16:45:04,2022-08-02, SWK,"Stanley Black & Decker, Inc.",Ayers Andrea J.,Dir,P - Purchase,$95.69,"+15,500","19,369",+401%,"+$1,483,142",,,,
5286,,2022-08-04 16:44:13,2022-07-31, ED,Consolidated Edison Inc,Nachmias Stuart,"Pres, CEO CET",P - Purchase,$99.27,+7,"1,301",+1%,+$667,,,,
5287,,2022-08-04 16:42:40,2022-07-31, ED,Consolidated Edison Inc,Miller Joseph,"VP, Controller",P - Purchase,$99.27,+2,"1,164",0%,+$222,,,,
5288,,2022-08-04 16:40:46,2022-07-31, ED,Consolidated Edison Inc,Ketschke Matthew,Pres CECONY,P - Purchase,$99.27,+1,"2,610",0%,+$111,,,,
5289,,2022-08-04 16:38:31,2022-07-31, ED,Consolidated Edison Inc,Hoglund Robert N,"SVP, CFO",P - Purchase,$99.27,+23,"43,697",0%,"+$2,315",,,,
5290,,2022-08-04 16:37:40,2022-07-31, ED,Consolidated Edison Inc,Donnley Deneen L,"SVP, GC, 10%",P - Purchase,$99.27,+23,"1,231",+2%,"+$2,313",,,,
5291,D,2022-08-04 16:37:07,2022-08-03, OBT,"Orange County Bancorp, Inc. /De/",Gilfeather Michael J,"Pres, CEO",P - Purchase,$32.75,+250,"38,301",+1%,"+$8,188",,,,
5292,,2022-08-04 16:36:17,2022-07-31, ED,Consolidated Edison Inc,Cawley Timothy,"COB, Pres, CEO",P - Purchase,$99.27,+23,"18,334",0%,"+$2,316",,,,
5293,M,2022-08-04 16:36:00,2022-08-02, CRTG,Coretec Group Inc.,Keen Victor F,"Dir, 10%",P - Purchase,$0.10,"+420,000","94,948,679",0%,"+$43,800",,,,
5294,,2022-08-04 16:31:56,2022-08-04, PDM,"Piedmont Office Realty Trust, Inc.",Cohen Glenn Gary,Dir,P - Purchase,$13.01,"+3,000","30,419",+11%,"+$39,030",,,,
5295,,2022-08-04 16:30:59,2022-08-03, ALZN,"Alzamend Neuro, Inc.",Ault Milton C III,10%,P - Purchase,$0.95,"+2,000","37,704,651",0%,"+$1,896",,,,
5296,,2022-08-04 16:30:49,2022-08-03, CNXA,Connexa Sports Technologies Inc.,"Bitnile Holdings, Inc.",10%,P - Purchase,$1.16,"+1,000","1,361,000",0%,"+$1,160",,,,
5297,,2022-08-04 16:27:09,2022-08-04, SHBI,Shore Bancshares Inc,Wayson Konrad,Dir,P - Purchase,$19.41,"+1,000","52,245",+2%,"+$19,410",,,,
5298,,2022-08-04 16:27:03,2022-08-03, AMTB,Amerant Bancorp Inc.,Martin Silvio Marshall,See remarks,P - Purchase,$26.39,+500,"3,950",+14%,"+$13,194",,,,
