,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
15,D,2023-01-04 16:36:45,2023-01-03, RGCO,Rgc Resources Inc,Field Jason A.,"VP, Treasurer, CFO",P - Purchase,$22.25,+22,841,+3%,+$500,,,,
16,,2023-01-04 16:35:26,2023-01-03, ED,Consolidated Edison Inc,Cawley Timothy,"COB, Pres, CEO",P - Purchase,$95.46,+80,"19,093",0%,"+$7,637",,,,
17,AM,2023-01-04 16:35:19,2022-09-16, BRT,Brt Apartments Corp.,Gould Investors L P,10%,P - Purchase,$20.74,"+11,556","6,450,291",0%,"+$239,665",,,,
18,DM,2023-01-04 16:34:16,2021-03-29, TWOA,Two,Gupta Gautam,"Co-CEO, 10%",P - Purchase,$10.00,"+628,750",0,-100%,"+$6,287,500",,,,
19,,2023-01-04 16:31:02,2022-12-30, JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,10%,P - Purchase,$9.59,"+5,200","13,759,220",0%,"+$49,860",,,,
20,M,2023-01-04 16:30:38,2022-12-30, MICS,Singing Machine Co Inc,"Ault Alliance, Inc.",10%,P - Purchase,$4.42,+500,"1,804,800",0%,"+$2,212",,,,
21,,2023-01-04 16:20:50,2022-12-30, FEIM,Frequency Electronics Inc,"Edenbrook Capital, LLC","Dir, 10%",P - Purchase,$7.05,"+2,042","1,863,310",0%,"+$14,396",,,,
22,M,2023-01-04 16:19:01,2022-12-30, BCOV,Brightcove Inc,"Edenbrook Capital, LLC",10%,P - Purchase,$5.20,"+5,044","5,696,478",0%,"+$26,230",,,,
23,,2023-01-04 16:16:50,2022-12-30, FPI,Farmland Partners Inc.,Pittman Paul A,CEO,P - Purchase,$12.35,+500,"2,367,907",0%,"+$6,177",,,,
24,M,2023-01-04 16:16:00,2022-12-30, BICX,Biocorrx Inc.,Lucido Louis C.,"Dir, 10%",P - Purchase,$1.09,"+2,315","97,059",+2%,"+$2,513",,,,
25,,2023-01-04 16:14:41,2022-12-30, KA,"Kineta, Inc./De",Bartoszek Raymond J.,Dir,P - Purchase,$6.23,"+7,001","796,417",+1%,"+$43,581",,,,
26,M,2023-01-04 16:06:02,2022-12-30, MACK,Merrimack Pharmaceuticals Inc,Levy Noah G.,See remarks,P - Purchase,$11.24,"+6,600","1,019,586",+1%,"+$74,179",,,,
